iter	Logloss
0	0.6912048275
1	0.6894272919
2	0.6878245445
3	0.6863785851
4	0.6850749474
5	0.6838995302
6	0.6828390064
7	0.6818826851
8	0.6810206709
9	0.6802427318
10	0.6795414132
11	0.6789091589
12	0.6783389531
13	0.6778246076
14	0.6773604682
15	0.6769419895
16	0.6765639938
17	0.6762233592
18	0.6759161996
19	0.6756379796
20	0.6753878066
21	0.6751622832
22	0.6749589265
23	0.6747751297
24	0.6746097445
25	0.6744604696
26	0.674325413
27	0.6742040803
28	0.6740939058
29	0.6739950688
30	0.6739055049
31	0.673825137
32	0.6737526305
33	0.6736872133
34	0.6736280064
35	0.673574759
36	0.6735267175
37	0.6734833721
38	0.6734441336
39	0.6734087702
40	0.6733769159
41	0.6733480212
42	0.6733217656
43	0.6732976943
44	0.6732760694
45	0.6732562387
46	0.6732390439
47	0.6732235398
48	0.6732089676
49	0.6731958919
50	0.6731844706
51	0.6731739106
52	0.673164628
53	0.6731558168
54	0.6731481722
55	0.6731404048
56	0.6731342546
57	0.6731283858
58	0.6731230019
59	0.6731175833
60	0.6731126976
61	0.6731079521
62	0.6731041226
63	0.6731001746
64	0.673095927
65	0.673093019
66	0.6730902585
67	0.6730877812
68	0.6730857525
69	0.6730824673
70	0.6730810067
71	0.6730794463
72	0.67307699
73	0.6730752729
74	0.6730736198
75	0.6730715989
76	0.6730705155
77	0.6730691064
78	0.6730666073
79	0.673066446
80	0.6730647032
81	0.6730633603
82	0.6730624782
83	0.6730605569
84	0.6730588749
85	0.6730587778
86	0.6730578671
87	0.6730569258
88	0.673055047
89	0.6730536331
90	0.6730523916
91	0.6730523624
92	0.6730511346
93	0.6730499579
94	0.6730490694
95	0.6730490603
96	0.6730486215
97	0.673047591
98	0.6730462012
99	0.6730449575
100	0.6730445883
101	0.6730443551
102	0.6730434463
103	0.6730427829
104	0.6730415707
105	0.6730409014
106	0.6730403931
107	0.673039358
108	0.6730392018
109	0.6730370976
110	0.673035794
111	0.6730348846
112	0.6730337848
113	0.6730317459
114	0.6730306915
115	0.673030097
116	0.6730296644
117	0.6730284872
118	0.6730284707
119	0.6730277726
120	0.6730273125
121	0.6730265766
122	0.6730253348
123	0.6730239892
124	0.6730236803
125	0.6730230848
126	0.6730218533
127	0.6730216032
128	0.6730205524
129	0.6730200774
130	0.673019709
131	0.6730195431
132	0.6730192263
133	0.6730183322
134	0.6730180376
135	0.6730172155
136	0.673017023
137	0.6730164468
138	0.6730153886
139	0.6730149817
140	0.673014917
141	0.6730145542
142	0.6730131334
143	0.6730128397
144	0.67301142
145	0.6730109472
146	0.673008853
147	0.6730088427
148	0.6730080963
149	0.6730080068
150	0.6730070223
151	0.6730064001
152	0.6730060232
153	0.6730056415
154	0.6730056411
155	0.6730051085
156	0.6730048698
157	0.6730045377
158	0.6730033653
159	0.6730031586
160	0.6730022556
161	0.6730005459
162	0.6729999558
163	0.6729990985
164	0.6729987488
165	0.672998037
166	0.6729968961
167	0.6729965976
168	0.6729962912
169	0.6729957612
170	0.6729955336
171	0.6729950758
172	0.6729944179
173	0.6729934464
174	0.6729930754
175	0.672992875
176	0.6729925438
177	0.6729920505
178	0.672990961
179	0.6729895343
180	0.6729888267
181	0.6729873955
182	0.6729868121
183	0.6729860433
184	0.6729853869
185	0.6729848605
186	0.6729837009
187	0.6729825282
188	0.6729823481
189	0.67298009
190	0.672979068
191	0.6729782584
192	0.6729778701
193	0.672977558
194	0.672976643
195	0.6729760211
196	0.6729757621
197	0.6729745315
198	0.672973821
199	0.672973389
200	0.6729732619
201	0.6729724787
202	0.6729719892
203	0.6729715749
204	0.6729711547
205	0.6729708776
206	0.6729701087
207	0.6729689842
208	0.6729681017
209	0.6729676886
210	0.6729665732
211	0.6729649468
212	0.6729648507
213	0.6729632973
214	0.6729631107
215	0.6729618982
216	0.6729613488
217	0.6729609118
218	0.6729603857
219	0.6729601194
220	0.672960091
221	0.6729588223
222	0.6729582306
223	0.6729580548
224	0.6729580493
225	0.6729573533
226	0.6729561254
227	0.6729549865
228	0.6729535189
229	0.6729530917
230	0.6729522084
231	0.672951055
232	0.6729493551
233	0.6729491325
234	0.6729490713
235	0.6729472723
236	0.6729462232
237	0.6729456534
238	0.6729447685
239	0.6729430865
240	0.6729416572
241	0.6729411119
242	0.6729403971
243	0.6729396442
244	0.6729383097
245	0.6729371867
246	0.6729369678
247	0.672935863
248	0.6729352495
249	0.6729348971
250	0.6729341107
251	0.6729336658
252	0.6729333654
253	0.6729330608
254	0.6729327976
255	0.6729319412
256	0.6729319249
257	0.6729314329
258	0.6729307602
259	0.672930375
260	0.6729301342
261	0.6729287446
262	0.6729275957
263	0.6729258217
264	0.6729254223
265	0.6729245973
266	0.6729229561
267	0.6729223182
268	0.6729221638
269	0.672921945
270	0.6729208223
271	0.6729185231
272	0.6729180589
273	0.6729176216
274	0.6729165637
275	0.6729156821
276	0.6729149498
277	0.6729135808
278	0.6729128794
279	0.6729118332
280	0.6729109984
281	0.6729100569
282	0.6729093167
283	0.672907753
284	0.6729065932
285	0.6729059223
286	0.6729045626
287	0.6729038987
288	0.672903124
289	0.6729015957
290	0.6729009387
291	0.6729002133
292	0.6728996022
293	0.672898445
294	0.6728973058
295	0.6728957213
296	0.6728950391
297	0.6728940581
298	0.6728934717
299	0.672892844
300	0.6728915045
301	0.6728888833
302	0.6728867751
303	0.6728842166
304	0.6728829886
305	0.6728823737
306	0.6728811368
307	0.6728796808
308	0.6728781611
309	0.6728767327
310	0.6728762608
311	0.6728748676
312	0.6728740592
313	0.6728739039
314	0.6728725652
315	0.6728708615
316	0.6728702844
317	0.6728696513
318	0.6728671888
319	0.6728658534
320	0.6728651322
321	0.672864115
322	0.6728637955
323	0.6728624952
324	0.6728605583
325	0.6728595738
326	0.6728582768
327	0.6728563416
328	0.6728553387
329	0.6728547891
330	0.6728540681
331	0.6728523754
332	0.6728513978
333	0.6728504343
334	0.6728492602
335	0.6728484532
336	0.6728471568
337	0.6728449103
338	0.6728437687
339	0.6728428209
340	0.6728415282
341	0.6728404562
342	0.6728397053
343	0.6728392476
344	0.6728377103
345	0.6728372392
346	0.672837042
347	0.6728365252
348	0.6728360434
349	0.6728353486
350	0.6728333757
351	0.6728323457
352	0.6728297822
353	0.6728293077
354	0.6728288343
355	0.6728278294
356	0.6728272092
357	0.6728262889
358	0.6728251335
359	0.672824549
360	0.6728236114
361	0.672822468
362	0.672820774
363	0.6728194983
364	0.6728185849
365	0.6728174826
366	0.6728169052
367	0.6728165425
368	0.6728152831
369	0.6728141705
370	0.6728128569
371	0.6728118541
372	0.6728107175
373	0.672809441
374	0.6728089048
375	0.6728078509
376	0.6728073366
377	0.6728069662
378	0.6728060775
379	0.6728056957
380	0.6728048523
381	0.6728039913
382	0.6728032299
383	0.6728022317
384	0.6728014959
385	0.6728001298
386	0.6727994057
387	0.6727987613
388	0.6727982219
389	0.6727969763
390	0.672796497
391	0.672795284
392	0.6727947118
393	0.6727943642
394	0.6727940095
395	0.6727920705
396	0.67279125
397	0.6727900439
398	0.6727891644
399	0.6727875132
400	0.6727870885
401	0.672786605
402	0.6727854033
403	0.6727848687
404	0.6727839916
405	0.6727820932
406	0.6727815726
407	0.6727804815
408	0.6727801265
409	0.6727797519
410	0.6727791798
411	0.672777905
412	0.6727768879
413	0.6727766933
414	0.6727752297
415	0.672774327
416	0.6727716163
417	0.6727701546
418	0.672769407
419	0.6727680865
420	0.6727673896
421	0.6727663643
422	0.6727654021
423	0.6727645332
424	0.672763667
425	0.6727625404
426	0.6727623811
427	0.6727608474
428	0.6727601551
429	0.6727597117
430	0.6727594904
431	0.6727588196
432	0.6727579756
433	0.6727558525
434	0.6727552832
435	0.6727550099
436	0.6727537278
437	0.6727531979
438	0.6727523856
439	0.6727517407
440	0.6727506896
441	0.6727499624
442	0.6727491175
443	0.6727481083
444	0.6727469246
445	0.6727457823
446	0.6727439832
447	0.6727431381
448	0.6727424081
449	0.6727409205
450	0.672739814
451	0.6727392292
452	0.6727384445
453	0.6727372546
454	0.6727369725
455	0.6727362461
456	0.6727357976
457	0.6727355852
458	0.6727345953
459	0.6727334574
460	0.6727327044
461	0.6727320027
462	0.6727310136
463	0.6727307722
464	0.6727291026
465	0.6727279531
466	0.6727262754
467	0.6727258782
468	0.672725291
469	0.6727233326
470	0.6727217777
471	0.6727211516
472	0.6727208634
473	0.6727197438
474	0.6727191528
475	0.6727179904
476	0.6727171439
477	0.6727166158
478	0.6727151976
479	0.6727148724
480	0.6727140318
481	0.6727128483
482	0.6727124883
483	0.6727117321
484	0.6727102106
485	0.6727087034
486	0.6727073071
487	0.6727068523
488	0.6727061773
489	0.6727054909
490	0.6727044481
491	0.6727041342
492	0.6727030692
493	0.672702535
494	0.6727012245
495	0.6727003487
496	0.6726992797
497	0.6726982578
498	0.6726973228
499	0.672695224
