iter	Passed	Remaining
399	19531	4882
400	19576	4833
401	19613	4781
402	19654	4730
403	19697	4680
404	19734	4629
405	19776	4578
406	19825	4530
407	19869	4480
408	19907	4429
409	19951	4379
410	19991	4329
411	20027	4277
412	20068	4227
413	20110	4177
414	20152	4127
415	20187	4076
416	20228	4026
417	20265	3975
418	20304	3925
419	20339	3874
420	20383	3824
421	20428	3775
422	20468	3725
423	20509	3676
424	20546	3625
425	20590	3576
426	20630	3526
427	20667	3476
428	20707	3427
429	20741	3376
430	20773	3325
431	20818	3277
432	20855	3227
433	20906	3179
434	20946	3129
435	20987	3080
436	21027	3031
437	21066	2982
438	21111	2933
439	21145	2883
440	21180	2833
441	21222	2784
442	21265	2736
443	21313	2688
444	21349	2638
445	21387	2589
446	21426	2540
447	21465	2491
448	21506	2442
449	21550	2394
450	21596	2346
451	21636	2297
452	21675	2248
453	21713	2199
454	21758	2151
455	21797	2103
456	21842	2055
457	21882	2006
458	21926	1958
459	21969	1910
460	22009	1861
461	22047	1813
462	22087	1765
463	22131	1717
464	22176	1669
465	22221	1621
466	22266	1573
467	22311	1525
468	22355	1477
469	22396	1429
470	22441	1381
471	22484	1333
472	22526	1285
473	22558	1237
474	22597	1189
475	22633	1141
476	22669	1093
477	22710	1045
478	22743	997
479	22781	949
480	22824	901
481	22869	854
482	22910	806
483	22946	758
484	22991	711
485	23030	663
486	23071	615
487	23111	568
488	23154	520
489	23198	473
490	23243	426
491	23282	378
492	23329	331
493	23362	283
494	23400	236
495	23436	189
496	23477	141
497	23522	94
498	23558	47
499	23602	0
